id,text
6358,Best panelists ever!! I had a wonderful time celebrating Solo with everyone! 🥹
637,I ACTUALLY LOVE HER I CANT 😭🥹
6435,Am I ever good enough for these people?? This day already gonna start and end in tears 🥹😭
6632,"Wow I can’t wait to get my first web3 job 🥹
Thank You sir for all you do for us ❤️ 🙏🏾"
6648,"I ate once today, vomited once, drank coffee twice, and worked for more than 12 hours straight. I hope all of this is worth it bc i am extremely tired 🥹"
6731,I need a good man today because I'm divorce since last year and I don't have any man to cuddle me💔💔🥹
6831,"Hello... anyone here??
I just came here to say

ENHYPEN WAS SO GOOD 😭😭😭 AND I WAS SO CLOSE AND I WILL POST PICS LATER BECAUSE I WASNT ABLE TO RECORD ANYTHING BECAUSE J WASN DANCIJG SO HARD BUT MY FRIENDS RECORDED AND WILL SEND ME LAZER SO LATTER

and I'm tired and so happy 🥹"
6859,Take a pic of the finished product 🥹
7155,"Day made 🥹
So finally someone pay attention too to small accounts like us🥹"
7186,I was thinking about him yesterday 🥹
7282,I can’t wait to cook tomorrow 🥹
7300,I need a good man today because I'm divorce since last year and I don't have any man to cuddle me💔💔🥹
7380,Can’t wait to find my person 💙🥹
7678,"hc would live the most extravagant kind of lifestyle and xl the most miserabel i suppose 🤣🥹 but no worry, than soon changes

ysh lives the countryside dream

yy is just as unnoticeable as in the books (but uses it to his advantage to upkeep hc’s sketchier businesses)"
7691,God finally said it’s time for baby number 2 🙏💋💪🥹
7773,"wtt
have: wooyoung binder pc
want: hongjoong binder pc

🥹

#ateeztrade #ateeztrades #ateezwtt #wttateez #kpoptrades #wttwooyoung #wtthongjoong #wooyoungwtt #hongjoongwtt"
7917,I started my freelancing journey from today 🥹 and I'll document everything here what ever i do from today
8008,Coach asked my son if he wants to play with u13 tomorrow 🥹
8056,ok那我就先这样吧🥹
8236,I didn’t know it was Easter 🐣 🥹
8245,This is the first I've seen it.💔🥹
8315,"1M OF PRECIOUS PHANBIN GREETINGS FANS FOR THE 1ST TIME IN BP ✨️💙🥹💙🥹💙✨️ CONGRATULATION !! >LET'S DEBUT<

#1MParkHanbin #1MPhanbinGreetingFans 

#박한빈 #パクハンビン #PARKHANBIN #보이즈플래닛 #BOYSPLANET"
8352,"I don’t want anyone to call the cops on me 🥹🎄 I’ve never been in a relationship I wish I knew what was going on, chippy and teddy are too cute"
8355,Small wins 🥹
8440,Yes me too how fitting and appropriate for his crucifixion and resurrection 🥹♥️
8447,"Finally got Face Invisible version🤍 The PCs are too cute🥺
Love the page design for Letter, so special, just for ARMY💜🥹 I love that song so much! Especially the last minute or so, that is particularly joyous😌"
8484,almost done 🥹 i’m so illiterate the bar needs to be low lol
856,See me crying when ify died😫🥹😭
8598,You people have started again 🥹
8811,I didn’t even realize how much progress I made in the gym till rn. 🥹 I’m so proud.
8835,ohh and also this him tearing up because george was gonna see colours for the first time 😭😭🥹❤️‍🩹
9039,"So my mom bought me some new shoes yesterday, and they look really similar to Satoshi's shoes... they remind me of Satoshi 🥹
「今では世界中　探しても見つからない
　最高のボロボロ靴さ」

#アニポケ #anipoke #最高のボロボロ靴 #ThankYouAshAndPikachu"
9086,i wanna add shading so bad but what if I ruin it instead 🥹
9105,That’s my baby 😌🥹
9226,"makes nice chapatis and EATS them too, a lott! I nominate her!🥹😂"
9279,Zach and Madden there watching Julie receive her 100 cap celebration! 🥹
9288,Can’t believe this is me 🥹
9399,Shows fam a video. “That doesn’t look like you” Me: Yeah that was precovid 😂🥹
9507,"No matter how much I am still hurt from the ending, ichi//ruki keeps my heart occupied. It will forever stay as one of my top 3 OTPs of all time 🥹"
9616,anyone got extra BackToBack tix please roger roger me okay i want to buy 🥹
9632,"melanie x ashnikko, there's still hope for this 🥹"
9697,RIGHT !!! this hair looked perfect on her 🥹
9889,missed her 🥹
9894,i hope i get on there one day 🥹
9902,I also can't believe na I won't see them in two days 🤧🥹
