ID,Comments
252,"another week has passed but i personally feel like my entire soul still remains in tokyo. all the joy and merriment we had together was so much fun to remember, promise me to come back and pass the time together again, mys! 🤍"
253,So are you hun 🤍
254,Linda sos vos mujer 🤍
255,I love you honey thank you for being there for me 🤍
256,"aww thank you &lt;33 my day has been going good so far, thank you for asking !! hope the same for you as well 🤍"
257,ありがとっ🤍𓐍𓏸𓈒
258,"3rd in ticketing service booking for  ; 🤍

#lilacsvc"
259,sumin is everything 🤍
260,"Good luck at the dentist! You’re a ferocious, hobkin! You got this! 🤍"
261,omg thank you so much po! 🤍
262,"Welcome back cinta 🤍

WELCOME BACK YOUNGK
#Welcome_Home_YoungK
#영케이_전역_축하해"
263,Glad to see that you made this for them Tasuku! Great job! 🤍
264,6 years ago. 🤍
265,"5SOS5 has surpassed 1M Shazams with a total of 1,084,421 congratulations 🤍"
266,"go to pinterest, write your bias' name then ""core"". pick the first 2 pictures.

then write your name + core and pick the first 2 pictures.

oh i love these 🤍"
267,beautiful 🤍
268,"thank you for the libre, ! 🤍"
269,in case he call in the midnight 🤍
270,have a nice day 🤍
271,"Girl.. take it from me! Do the work, get through and past the trauma cause you never know when you’ll see yourself without him whether it’s now or later! It’s hard but you got this 🤍"
272,"2nd MV teaser for 'KNOCK' will be dropping minutes from now 🤍

don't forget to hype the teaser with the tag below
#KNOCK_MVTEASER2"
273,Thank you for sharing this Paul. It was a treat for my brain 🤍
274,The song that made me get into this band even after all these years 🤍
275,"Awww, sending positive energies your way 🤍 May you get well super soon 🤍"
276,Good night and Miss you 🤍
277,🤍 drop your photo dump today
278,it's my pleasure~ at least you'll use them~ 🤍
279,"Hey, uh,

some of you Live2D riggers are so sweet what the heck

ilyall 🤍"
280,glad you’re good. love you 🤍
281,more blessings to come 🤍
282,"DISREGARD THE GRAB AD, HELLO???? KEP1ER STILL TRENDING AFTER ALMOST 24 HOURS!!!!! 🤍"
283,"Yes, you are 🤍"
284,well done love i’m so proud of you!!🤍
285,Free therapy slash another wakwak session with my homes 🤍
286,Okay baby your two minutes of relevance is up now it's time to pack up before I block your no profile picture having ass. 🤍
287,"Take care po gab, we will miss you!🤍"
288,Happy birthday to my bestie 🤍🤍 I can’t wait to see you again #Happybirthdaykarina
289,And please know what real islam is it's not what u think it is.. thank you for giving me some of your precious time 🤍
290,grateful for everyone who has been nice to me in the twitter community 🤍 the disrespectful ones can rot !
291,gm Valeria 🤍 have a blessed week!
292,she's the definition of “fangirl” 🤍
293,"Hottest man alive 🤍
#D_Day #yoongi #suga #agust_D_tour #D_DayIsComing #D_DayTracklist"
294,"vyn always looks so elegant in a suit 🤍
#TearsOfThemis #VynRichter"
295,throwback to when i got hit on by a 30 year old when i was 14 in hawaii 🤍
296,Ezquire enjoy your day 🤍
297,"young and sweet, only seventeen 🤍 
#SofiaAtSeventeen"
298,fall in love w someone who is both your safe place and your best friend 🤍
299,参加します🤍
300,Chinese fans are so sweet 🤍
301,"รอๆนักแสดงคิมโดยองค่าา 🤍

MELODY OF SCENTS D3
#DOJAEJUNG_Commitment"
302,"prayed for you, look what God has turned 🤍"
303,"no words can express just how much i adore and look up to karina, she’s one of the most hardworking and amazing people ever and i will never lose reasons to love her 🤍 

BLOOMING KARINA DAY
#지민아_마이의_푸른봄은_너야
#Welcome_to_MyKarina #KARINA

"
304,"my numbah one fave au writer, i am so proud of you po! mag reread lang ako kasi limot ko na wsksnsjawks, i'll always be here silently supporting you! ilysm hei 🤍"
305,"count down to florida :
54 days 🤍"
306,"Touchdown touchdown, 
drop it low 🤍

꒰ #PALM_PERSES #PERSES_TH ꒱"
307,"Happy birthday my beautiful Yu Jimin, I hope your days are filled with happiness only, I hope you are always surrounded by love, please stay happy and healthy 🤍

BLOOMING KARINA DAY
#지민아_마이의_푸른봄은_너야
#Welcome_to_MyKarina
#유지민은봐라"
308,Thank you 🤍
309,"IM SO PROUD OF YOU, MARK 🤍"
310,watching the way mark shared his own sentiments from the songwriting down to the making of music video just goes to show how greatly he wanted to pour his own creative juices and to portray a significant portion of himself in his musical creation 🤍
311,You’re the best. I'm so lucky to know you.🤍
312,hi pls drop the tags for ahyeon 🤍
313,I’ve gotten tattoos/piercings and it’s honestly been fine 🤍 obviously do what you are comfortable with but I just wanted to let you know that it was okay for me! I have a decently big forearm tattoo and it didn’t necessarily cause me any flares or anything
314,torn between they deserve to know how talented he is and i want to gatekeep him hahahaha but yeah we cant gatekeep him!! 🤍
315,"I just want consistency, loyalty &amp; healthy communication 🤍"
316,heaven-haunted and paradise-scented—the soul of hers. 🤍
317,welcome to philippines queen taeyeon 🤍
318,"my weverse pre orders for face and my lucky draws from coko are gonna end up being delivered at the same time at the end of this week, it’s gonna be a jiminful mail day 🤍"
319,How can you not love this handsome face 🤍 #dogsoftwitter
320,You warned my little heart up. charming friend 🤍
321,🤍🤍 ياربب
322,"MELODY OF SCENTS D3
#DOJAEJUNG_Commitment 🤍"
323,"I’ve been choosing peace over people lately , &amp; so far NO REGRETS 🤍"
324,Fatima really my heart 🤍 always a call away no matter what .
325,"Depois da tempestade vem a bonança , and I almost lost my hope , but god is good all the time 🤍"
326,"good morning skinny girls, gays and theys!!

remember today is monday and if you mess up today, you don’t have to wait a whole week to try again. tomorrow is a new day! try and do your best to get to your goal as best as you can&lt;3 i believe in you 🤍 new week, same goals, do it!!"
327,Let’s crush this week 🤍 gm Honey
328,#ENGLOT : can't help falling inlove with you 🤍
329,10000 hrs and more and more and more with Jungkook 🤍
330,"Oh my, I love this so, so much. “A thought became a torch that led you down the path that is your life.” 🤍 #perfection"
